日付	 速度L1	 速度L2	 速度L3	 速度L4	 速度L5	 速度L6	 速度L7	 速度L8	 速度NGL1	 速度NGL2	 速度NGL3	 速度NGL4	 速度NGL5	 速度NGL6	 速度NGL7	 速度NGL8	 フラグなしL1	 フラグなしL2	 フラグなしL3	 フラグなしL4	 フラグなしL5	 フラグなしL6	 フラグなしL7	 フラグなしL8	 効率L1	 効率L2	 効率L3	 効率L4	 効率L5	 効率L6	 効率L7	 効率L8	 高難易度L1	 高難易度L2	 高難易度L3	 高難易度L4	 高難易度L5	 高難易度L6	 高難易度L7	 高難易度L8	 ランダム難易度L1	 ランダム難易度L2	 ランダム難易度L3	 ランダム難易度L4	 ランダム難易度L5	 ランダム難易度L6	 ランダム難易度L7	 ランダム難易度L8	 ハードコアL1	 ハードコアL2	 ハードコアL3	 ハードコアL4	 ハードコアL5	 ハードコアL6	 ハードコアL7	 ハードコアL8	 ハードコアNGL1	 ハードコアNGL2	 ハードコアNGL3	 ハードコアNGL4	 ハードコアNGL5	 ハードコアNGL6	 ハードコアNGL7	 ハードコアNGL8	 耐久L1	 耐久L2	 耐久L3	 耐久L4	 耐久L5	 耐久L6	 耐久L7	 耐久L8	 ナイトメアL1	 ナイトメアL2	 ナイトメアL3	 ナイトメアL4	 ナイトメアL5	 ナイトメアL6	 ナイトメアL7	 ナイトメアL8
2024/12/23	788.1	1174	3299	3143	4477	6440	12869	8319	681.8	1223	3207	2844	6797	5097	6767	7291	648.7	1088	2700	2473	3988	5764	8023	9487	508.6	933.7	2120	3159	4800	6275	11176	13666	1646	3296	9064	11393	27130	37709	39000	51000	632.3	994.2	2808	2976	6775	6842	8235	10458	643.8	1286	3395	3111	5334	6653	11981	8463	655.6	3459	9450	3495	10198	9124	11101	11546	940.9	1954	4020	4540	7116	9990	20081	40332	1667	2989	5016	8400	12065	19182	50000	93000
2024/12/22	770.6	1111	3469	3000	4400	6440	12000	8319	690	1234	3434	2839	6797	5338	6500	7290	647.6	1082	2849	2448	4200	5764	7534	9380	502.8	935.9	2024	3159	4947	6098	11176	13770	1714	3278	9199	11408	28909	37709	40834	49463	643.5	1050	3053	2910	6245	6700	9000	10700	645.3	1288	3622	3325	4910	6298	11981	8591	647.5	3225	9699	3519	10198	9375	11101	11546	934.2	1954	4020	4842	7116	10390	20081	40332	1691	2989	5263	8414	12988	20490	50000	93000
2024/12/21	763.8	1175	3391	3145	4646	6071	11566	8426	693.4	1166	3499	2676	6386	5382	6750	7290	664.8	1080	2849	2448	4497	5301	7111	9199	524.4	920.3	2100	3206	5237	6445	10728	14279	1611	3392	9024	11498	27022	34972	43875	52395	655.4	1008	3286	2959	5938	6414	9000	10700	666.6	1250	3803	3400	4494	6000	11981	8591	656.5	2935	10245	3498	9676	9297	11101	10923	899.2	1979	4048	4899	7547	10390	20081	40332	1652	2797	5138	8414	12988	20490	50000	93000
2024/12/20	774.4	1196	3500	3144	4723	6071	10882	8281	702.8	1242	3833	2555	5902	5280	6723	7189	690.3	1099	2849	2440	4497	5800	7111	9199	507.6	944.2	2039	3014	5237	6445	10728	14279	1479	3256	9057	11788	24719	34972	43875	52395	686.8	1065	3077	2992	5463	6808	8994	10700	669.7	1198	4057	3350	4130	5821	10947	8591	664.5	2741	10245	3498	10185	9297	11101	10923	881.8	1953	4100	4899	7790	10374	20081	40332	1583	2973	5203	9028	13296	20490	50000	93000
2024/12/19	771.2	1179	3495	3010	4702	5997	9957	8080	692.3	1177	4033	2465	5902	5500	6770	7268	682.3	1139	2849	2529	4449	5800	7375	9138	518.1	995.4	2097	2957	5000	6780	10329	14279	1404	3308	9148	11146	24719	32658	43875	51799	698.1	1061	2853	2909	5122	6808	8994	10666	674.5	1182	4057	3400	3800	5490	10947	8557	664.4	2518	9370	3477	10962	9297	11101	10923	892.1	1875	4100	4890	7790	10374	20081	40332	1599	2899	5203	9028	13132	20490	50000	91672
2024/12/18	763.9	1155	3505	3166	4301	6000	9500	7991	698.4	1167	4290	2574	5902	5500	6770	7268	684.9	1176	2850	2656	4449	5800	7375	8601	518.3	983.4	2060	2877	5036	6780	9520	14279	1283	3343	9222	11928	23474	32658	43875	52500	682.2	1056	2820	2942	4784	6808	8994	10340	675.8	1151	4057	3318	3859	5490	10947	8557	665.1	2323	8765	3452	11503	8616	11101	10923	892.1	1843	4025	4890	7790	9875	20081	39499	1587	2990	5203	9488	14185	20490	50000	85341
2024/12/17	779.1	1114	3249	3120	4300	6000	9997	7500	693.5	1145	4370	2579	5544	5500	6900	7290	682.4	1222	2818	2656	4496	5800	7375	8000	503.8	961.1	1999	2844	4748	6540	9520	14200	1219	3370	9398	11945	23791	29792	40000	52368	662.1	1008	2704	2966	4714	6843	8994	9917	687.1	1102	4411	3066	3808	5490	9992	8595	662.3	2201	8300	3354	12178	8188	11750	10923	923.1	1907	4025	4825	7790	9875	20081	39499	1530	2951	5599	8925	14900	20000	50000	85341
2024/12/16	798.1	1054	3060	3060	4271	6000	9997	7724	710.2	1142	4400	2572	5144	5467	6900	7211	684.8	1282	2848	2693	4496	5800	7375	8562	526.1	989.4	2093	2774	4800	6980	9520	14680	1125	3380	9500	11462	21791	27557	40000	52000	675.8	1004	2512	2717	5100	6848	8994	10481	675.7	1050	4651	2920	3800	5164	9863	8600	672.4	2070	8661	3192	12178	8500	11750	10576	929.3	1972	4130	4795	7790	9875	19600	39999	1588	2871	5394	8850	14053	20500	50000	90417
2024/12/15	787.4	1145	3350	2825	4011	5678	9996	7724	717	1164	4485	2449	4750	5390	6900	7291	680.8	1294	2758	2902	4496	5532	7200	8665	523.2	996.1	2039	2891	4745	6980	10395	14650	1063	3356	9694	11941	19954	26157	40000	50400	684.9	977.7	2431	2608	5236	6848	8994	10481	654.5	1066	5103	2658	3807	5563	9550	8600	639.9	2228	9124	3161	13064	8700	11750	10024	921.8	1979	4220	5082	7900	9875	19600	40141	1524	2802	4909	8277	13311	20500	50000	90417
2024/12/14	763.8	1145	3633	2635	3824	5678	9980	7570	720.4	1114	4485	2449	4375	5300	6900	7218	675.8	1198	2923	2983	4496	5532	7200	8665	529.3	969.3	1997	2870	4567	6998	10444	14598	1012	3391	9999	11893	19000	23942	37446	49411	674.4	983.5	2468	2595	5547	6843	9091	10470	680.2	1097	5491	2485	3780	5850	9500	8550	660.2	2100	9124	3249	13800	8698	11750	9698	939.2	2000	4429	5085	7900	9875	19594	39999	1574	2802	4809	8150	13000	20500	49031	90417
